,GeneID,UniProtID,Protein Description,Protein Length (#AA),Protein Mass (Da),Subcellular Location ,Abundance Level,Average Protein Copy Number
591,ARL8A,Q96BM9,ADP-ribosylation factor-like protein 8A,186,21416,"SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000250|UniProtKB:Q9NVJ2}. Lysosome membrane {ECO:0000250|UniProtKB:Q9CQW2}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q9NVJ2}. Cell projection, axon {ECO:0000250|UniProtKB:Q9CQW2}. Synapse {ECO:0000250|UniProtKB:Q9CQW2}. Note=Localizes with microtubules at the spindle mid-zone during mitosis. {ECO:0000250|UniProtKB:Q9NVJ2}.",High,195669.78612369168
592,ARL8B,Q9NVJ2,ADP-ribosylation factor-like protein 8B,186,21539,"SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000269|PubMed:16537643}. Lysosome membrane {ECO:0000269|PubMed:16650381, ECO:0000269|PubMed:21802320, ECO:0000269|PubMed:22172677, ECO:0000269|PubMed:25898167, ECO:0000269|PubMed:27808481, ECO:0000269|PubMed:28325809, ECO:0000269|PubMed:29592961}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:15331635}. Cell projection, axon {ECO:0000250|UniProtKB:Q9CQW2}. Synapse {ECO:0000250|UniProtKB:Q9CQW2}. Cytolytic granule membrane {ECO:0000269|PubMed:24088571}. Note=GTP-bound form resides on lysosomal membranes, whereas GDP-bound form is likely associated with microtubular structures (PubMed:16650381). Localizes with microtubules at the spindle mid-zone during mitosis. In dendritic cells, localizes to MHC II+ compartments (By similarity). {ECO:0000250|UniProtKB:Q9CQW2, ECO:0000269|PubMed:15331635, ECO:0000269|PubMed:16650381}.",High,118118.67441508983
593,ARMC1,Q9NVT9,Armadillo repeat-containing protein 1,282,31281,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:31644573}. Mitochondrion {ECO:0000269|PubMed:31644573}. Mitochondrion outer membrane {ECO:0000269|PubMed:31644573}. Note=Associates with the outer mitochondrion membrane, most likely through its C-terminus (PubMed:31644573). Not integrated into the mitochondrial outer membrane (PubMed:31644573). {ECO:0000269|PubMed:31644573}.",Medium,23347.385951837383
594,ARMC10,Q8N2F6,Armadillo repeat-containing protein 10,343,37540,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:12839973}; Single-pass membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Mitochondrion outer membrane {ECO:0000269|PubMed:27184847}; Single-pass membrane protein {ECO:0000255}.,Low,4818.956100335552
595,ARMC5,Q96C12,Armadillo repeat-containing protein 5,935,97682,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:24283224}.,Medium,
596,ARMC6,Q6NXE6,Armadillo repeat-containing protein 6,501,54142,,Medium,19028.101355256607
597,ARMC7,Q9H6L4,Armadillo repeat-containing protein 7,198,21924,,Low  ,
598,ARMC8,Q8IUR7,Armadillo repeat-containing protein 8,673,75509,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17467196}. Cytoplasm {ECO:0000269|PubMed:17467196}.,Low,3059.9942678959465
599,ARMC9,Q7Z3E5,LisH domain-containing protein ARMC9,818,91819,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:28625504}. Cell projection, cilium {ECO:0000250|UniProtKB:Q9D2I5}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:28625504}. Note=Localized to the proximal region in cilia. Stimulation of Hh signaling leads to redistribution of ARMC9 toward the ciliary tip within 6 hours, follow by a gradual return to its original proximal location (By similarity). Localizes to the daughter centriole of the primary cilium in RPE1 cells (PubMed:28625504). {ECO:0000250|UniProtKB:Q9D2I5, ECO:0000269|PubMed:28625504}.",Very low,514.2112123241704
600,ARMCX1,Q9P291,Armadillo repeat-containing X-linked protein 1,453,49180,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9CX83}. Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q9CX83}; Single-pass membrane protein {ECO:0000255}.,Medium,8936.249478898426
601,ARMCX2,Q7L311,Armadillo repeat-containing X-linked protein 2,632,65683,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q6A058}. Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q8BHS6}; Single-pass membrane protein {ECO:0000255}.,Low,3016.682097267503
602,ARMCX3,Q9UH62,Armadillo repeat-containing X-linked protein 3,379,42501,SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q8BHS6}; Single-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000250|UniProtKB:Q8BHS6}. Nucleus {ECO:0000250|UniProtKB:Q8BHS6}.,High,43973.2367918854
603,ARMCX4,Q5H9R4,Armadillo repeat-containing X-linked protein 4,2290,235964,SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass membrane protein {ECO:0000255}.,Medium,
604,ARMCX5,Q6P1M9,Armadillo repeat-containing X-linked protein 5,558,62346,,Medium,
605,ARMCX6,Q7L4S7,Protein ARMCX6,300,33019,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q8K3A6}. Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q8BHS6}; Single-pass membrane protein {ECO:0000255}.,Medium,
606,ARMH3,Q5T2E6,Armadillo-like helical domain-containing protein 3,689,78710,"SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:31519766}; Single-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000269|PubMed:31519766}. Note=The majority of ARMD3 is cytosolic, with a portion colocalizing with GBF1 at juxtanuclear Golgi sites. {ECO:0000269|PubMed:31519766}.",Very low,645.1887634212285
607,ARMH4,Q86TY3,Armadillo-like helical domain-containing protein 4,774,84173,SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.,Medium,
608,ARMT1,Q9H993,Damage-control phosphatase ARMT1,441,51172,,Low,5736.736038561974
609,ARNT,P27540,Aryl hydrocarbon receptor nuclear translocator,789,86636,SUBCELLULAR LOCATION: Nucleus {ECO:0000305|PubMed:34521881}.,Very low,
610,ARNT2,Q9HBZ2,Aryl hydrocarbon receptor nuclear translocator 2,717,78691,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00981, ECO:0000269|PubMed:24465693}.",Low  ,
611,ARPC1A,Q92747,Actin-related protein 2/3 complex subunit 1A,370,41569,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:8978670}. Nucleus {ECO:0000250|UniProtKB:Q8AVT9}.",High,181957.594378001
612,ARPC1B,O15143,Actin-related protein 2/3 complex subunit 1B,372,40950,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11741539, ECO:0000269|PubMed:9230079}. Nucleus {ECO:0000269|PubMed:29925947}.",Low,5160.385610505286
613,ARPC2,O15144,Actin-related protein 2/3 complex subunit 2,300,34333,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9230079}. Cell projection {ECO:0000269|PubMed:9230079}. Synapse, synaptosome {ECO:0000250|UniProtKB:Q9CVB6}. Nucleus {ECO:0000269|PubMed:29925947}.",High,178905.63601902768
614,ARPC3,O15145,Actin-related protein 2/3 complex subunit 3,178,20547,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9230079, ECO:0000269|PubMed:9359840}. Cell projection {ECO:0000269|PubMed:9230079, ECO:0000269|PubMed:9359840}. Nucleus {ECO:0000269|PubMed:29925947}.",High,450261.3603875465
615,ARPC4,P59998,Actin-related protein 2/3 complex subunit 4,168,19667,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9359840}. Cell projection {ECO:0000269|PubMed:9359840}. Nucleus {ECO:0000269|PubMed:29925947}.",High,469952.14198180416
616,ARPC5,O15511,Actin-related protein 2/3 complex subunit 5,151,16320,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9230079}. Cell projection {ECO:0000269|PubMed:9230079}. Nucleus {ECO:0000269|PubMed:29925947}.",High,246685.821836492
617,ARPC5L,Q9BPX5,Actin-related protein 2/3 complex subunit 5-like protein,153,16941,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}.",High,79033.29263930017
618,ARPIN,Q7Z6K5,Arpin,226,24943,"SUBCELLULAR LOCATION: Cell projection, lamellipodium {ECO:0000250}. Note=Colocalized with the WAVE complex at lamelliupodium tip. {ECO:0000250}.",Medium,21148.957071734563
619,ARPP19,P56211,cAMP-regulated phosphoprotein 19,112,12323,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,High,390399.58352750406
620,ARRB1,P49407,Beta-arrestin-1,418,47066,"SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Cell membrane. Membrane, clathrin-coated pit {ECO:0000305}. Cell projection, pseudopodium {ECO:0000250}. Cytoplasmic vesicle. Note=Translocates to the plasma membrane and colocalizes with antagonist-stimulated GPCRs. The monomeric form is predominantly located in the nucleus. The oligomeric form is located in the cytoplasm. Translocates to the nucleus upon stimulation of OPRD1 (By similarity). {ECO:0000250}.",High,58046.68099366894
621,ARRB2,P32121,Beta-arrestin-2,409,46106,"SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Cell membrane. Membrane, clathrin-coated pit {ECO:0000250}. Cytoplasmic vesicle. Note=Translocates to the plasma membrane and colocalizes with antagonist-stimulated GPCRs.",Medium,19521.139747992867
622,ARRDC1,Q8N5I2,Arrestin domain-containing protein 1,433,45981,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22315426, ECO:0000269|PubMed:27462458}. Note=Also found in extracellular vesicles different from exosomes. {ECO:0000269|PubMed:22315426, ECO:0000269|PubMed:27462458}.",Medium,
623,ARSA,P15289,Arylsulfatase A,507,53588,SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:9342345}. Lysosome {ECO:0000305|PubMed:2562955}.,Medium,18887.500045974764
624,ARSB,P15848,Arylsulfatase B,533,59687,SUBCELLULAR LOCATION: Lysosome {ECO:0000250|UniProtKB:P50429}. Cell surface {ECO:0000250|UniProtKB:P50429}.,Medium,10585.68650263208
625,ARSD,P51689,Arylsulfatase D,593,64860,SUBCELLULAR LOCATION: Lysosome {ECO:0000305}.,Low  ,
626,ARSF,P54793,Arylsulfatase F (ASF) (EC 3.1.6.1),590,65940,SUBCELLULAR LOCATION: Secreted {ECO:0000305}.,Low  ,983.1987297373792
627,ARSG,Q96EG1,Arylsulfatase G,525,57061,"SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:12461688, ECO:0000269|PubMed:18283100}. Note=The 63-kDa precursor protein localizes to pre-lysosomal compartments and tightly associates with organelle membranes, most likely the endoplasmic reticulum. In contrast, proteolytically processed fragments of 34-, 18- and 10-kDa are found in lysosomal fractions and lose their membrane association. {ECO:0000250|UniProtKB:Q3TYD4}.",Very low,
628,ARSK,Q6UWY0,Arylsulfatase K,536,61450,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:23986440}. Lysosome {ECO:0000269|PubMed:23986440}.,Medium,
629,ARV1,Q9H2C2,Protein ARV1,271,31052,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:20663892}; Multi-pass membrane protein {ECO:0000305}.,Medium,
630,ARVCF,O00192,Splicing regulator ARVCF,962,104642,"SUBCELLULAR LOCATION: Cell junction, adherens junction {ECO:0000269|PubMed:10725230, ECO:0000269|PubMed:24644279, ECO:0000305|PubMed:30479852}. Nucleus {ECO:0000269|PubMed:10725230, ECO:0000269|PubMed:24644279}. Cytoplasm {ECO:0000269|PubMed:24644279}. Note=In heart, localizes at area composita, the mixed-type junctional structure composed of both desmosomal and adherens junctional proteins. {ECO:0000250|UniProtKB:B4F7F3}.",Medium,30089.957614027655
631,ARX,Q96QS3,Homeobox protein ARX (Aristaless-related homeobox),562,58160,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108, ECO:0000255|PROSITE-ProRule:PRU00138}.",Very low,639.4285557144826
632,AS3MT,Q9HBK9,Arsenite methyltransferase,375,41748,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q8VHT6}.",Medium,
633,ASAH1,Q13510,Acid ceramidase,395,44660,"SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:12764132}. Secreted {ECO:0000269|PubMed:7744740}. Note=Secretion is extremely low and localization to lysosomes is mannose-6-phosphate receptor-dependent. {ECO:0000269|PubMed:11451951}.; SUBCELLULAR LOCATION: [Isoform 2]: Nucleus {ECO:0000305|PubMed:22927646}. Cytoplasm {ECO:0000305|PubMed:22927646}. Note=A localization to the nucleus and the cytoplasm has also been reported for ASAH1, most probably for isoforms devoid of a signal peptide. {ECO:0000305|PubMed:22927646}.",High,72324.80665840536
634,ASAP1,Q9ULH1,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",1129,125498,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}. Note=Predominantly cytoplasmic. Partially membrane-associated. {ECO:0000250}.,Medium,15309.814878758289
635,ASAP2,O43150,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2",1006,111651,"SUBCELLULAR LOCATION: Cytoplasm. Golgi apparatus, Golgi stack membrane; Peripheral membrane protein. Cell membrane; Peripheral membrane protein. Note=Colocalizes with F-actin and ARF6 in phagocytic cups.",High,
636,ASAP3,Q8TDY4,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3",903,99155,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14654939}.,Medium,
637,ASB1,Q9Y576,Ankyrin repeat and SOCS box protein 1,335,37014,,Medium,
638,ASB3,Q9Y575,Ankyrin repeat and SOCS box protein 3,518,57745,,Medium,
639,ASB6,Q9NWX5,Ankyrin repeat and SOCS box protein 6,421,47136,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,Medium,
640,ASB8,Q9H765,Ankyrin repeat and SOCS box protein 8,288,31642,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12559969}.,Medium,
641,ASCC1,Q8N9N2,Activating sigl cointegrator 1 complex subunit 1,400,45509,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12077347, ECO:0000269|PubMed:26924529}. Nucleus speckle {ECO:0000269|PubMed:29997253}. Note=Colocalizes with PRPF8 in nuclear speckles in the absence of DNA damage. {ECO:0000269|PubMed:29997253}.",Medium,
642,ASCC2,Q9H1I8,Activating sigl cointegrator 1 complex subunit 2,757,86360,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12077347, ECO:0000269|PubMed:26924529, ECO:0000269|PubMed:29144457}. Nucleus speckle {ECO:0000269|PubMed:29144457, ECO:0000269|PubMed:29997253}. Note=Colocalizes with the spliceosomal components PRPF8 and SNRNP200/BRR2 in nuclear foci when cells have been exposed to alkylating agents that cause DNA damage. Colocalizes with RNF113A and 'Lys-63'-linked polyubiquitinated proteins, ALKBH3 and ASCC3 in nuclear foci when cells have been exposed to alkylating agents that cause DNA damage. {ECO:0000269|PubMed:29144457}.",Low,1902.8521384703367
643,ASCC3,Q8N3C0,Activating sigl cointegrator 1 complex subunit 3,2202,251460,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12077347, ECO:0000269|PubMed:29144457}. Nucleus speckle {ECO:0000269|PubMed:29144457, ECO:0000269|PubMed:29997253}. Cytoplasm, cytosol {ECO:0000269|PubMed:28757607}. Note=Colocalizes with ALKBH3 and ASCC2 in nuclear foci when cells have been exposed to alkylating agents that cause DNA damage. {ECO:0000269|PubMed:29144457}.",Low,2177.568360504405
644,ASDURF,L0R819,ASNSD1 upstream open reading frame protein,96,11250,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23160002}.,Low,3406.2141484847
645,ASF1A,Q9Y294,Histone chaperone ASF1A,204,22969,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11897662, ECO:0000269|PubMed:12842904}. Chromosome {ECO:0000269|PubMed:29478807}.",Medium,35781.57821424265
646,ASF1B,Q9NVP2,Histone chaperone ASF1B,202,22434,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12842904}. Cytoplasm, cytosol {ECO:0000269|PubMed:22407294}.",Low  ,
647,ASH2L,Q9UBL3,Set1/Ash2 histone methyltransferase complex subunit ASH2,628,68723,SUBCELLULAR LOCATION: Nucleus {ECO:0000305|PubMed:17355966}.,Medium,10397.738270047794
648,ASIC1,P78348,Acid-sensing ion channel 1,528,59909,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12578970, ECO:0000269|PubMed:21036899, ECO:0000269|PubMed:22760635}; Multi-pass membrane protein {ECO:0000269|PubMed:12578970, ECO:0000269|PubMed:21036899, ECO:0000269|PubMed:22760635}. Note=Localizes in synaptosomes at dendritic synapses of neurons. Colocalizes with DLG4 (By similarity). {ECO:0000250}.",Low,990.350681128608
649,ASIC2,Q16515,Acid-sensing ion channel 2,512,57709,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Localized at the plasma membrane of neurons, in the soma and punctated peripheral processes. {ECO:0000250}.",Very low,
650,ASIC4,Q96FT7,Acid-sensing ion channel 4,539,59278,SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.,Low  ,2255.0931616360135
651,ASL,P04424,Argininosuccite lyase,464,51658,,Medium,34242.045952118264
652,ASMTL,O95671,Probable bifunctiol dTTP/UTP pyrophosphatase/methyltransferase protein,621,68857,,Medium,35287.7084912587
653,ASNS,P08243,Asparagine synthetase [glutamine-hydrolyzing],561,64370,,High,41725.89307540415
654,ASNSD1,Q9NWL6,Asparagine synthetase domain-containing protein 1,643,72080,,Low  ,
655,ASPH,Q12797,Aspartyl/asparaginyl beta-hydroxylase,758,85863,SUBCELLULAR LOCATION: [Isoform 1]: Endoplasmic reticulum membrane; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q28056}.; SUBCELLULAR LOCATION: [Isoform 4]: Sarcoplasmic reticulum membrane; Single-pass type II membrane protein {ECO:0000305|PubMed:15485681}.; SUBCELLULAR LOCATION: [Isoform 8]: Endoplasmic reticulum membrane; Single-pass type II membrane protein {ECO:0000269|PubMed:22586105}.,Low,7721.273561945607
656,ASPHD1,Q5U4P2,Aspartate beta-hydroxylase domain-containing protein 1,390,41128,SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.,Very Low,422.7954977736583
657,ASPHD2,Q6ICH7,Aspartate beta-hydroxylase domain-containing protein 2,369,41699,SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.,Very Low,783.6253301162633
658,ASPM,Q8IZT6,Abnormal spindle-like microcephaly-associated protein,3477,409800,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:15972725}. Nucleus {ECO:0000250}. Note=The nuclear-cytoplasmic distribution could be regulated by the availability of calmodulin (By similarity). Localizes to spindle poles during mitosis (PubMed:19690332). Associates with microtubule minus ends (By similarity). {ECO:0000250|UniProtKB:Q8CJ27}.",Medium,
659,ASPSCR1,Q9BZE9,Tether containing UBX domain for GLUT4,553,60183,SUBCELLULAR LOCATION: Endomembrane system {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000269|PubMed:22207755}; Peripheral membrane protein. Cytoplasm {ECO:0000269|PubMed:23349634}. Nucleus {ECO:0000269|PubMed:23349634}.,Medium,24331.023700536236
660,ASRGL1,Q7L266,Isoaspartyl peptidase/L-asparagise,308,32055,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11984834, ECO:0000269|PubMed:27106100}. Note=Midpiece of sperm tail.",Medium,33036.601183489576
661,ASS1,P00966,Argininosuccite synthase,412,46530,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:28985504, ECO:0000305|PubMed:27287393}.",High,63644.09395947538
662,ASTE1,Q2TB18,Protein asteroid homolog 1,679,77093,,Low  ,
663,ASTN1,O14525,Astrotactin-1,1302,144913,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q61137}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q61137}. Perikaryon {ECO:0000250|UniProtKB:Q61137}. Endosome {ECO:0000250|UniProtKB:Q61137}. Cytoplasmic vesicle, clathrin-coated vesicle {ECO:0000250|UniProtKB:Q61137}. Note=Detected close to the anterior pole and at the base of the leading process in migrating neurons. Is internalized from the membrane via clathrin-coated vesicles and endosomes, and recycled to the anterior pole of the migrating cell. {ECO:0000250|UniProtKB:Q61137}.",Low,2375.1841694400555
